Total Word is 50 
Word,Percent,Count 
热量,0.0072,5 ,0.02,1 
空气质量,0.0043,3 ,0.02,1 
分子,0.0144,10 ,0.02,1 
铝,0.0057,4 ,0.02,1 
太阳能,0.0172,12 ,0.02,1 
电子,0.0287,20 ,0.02,1 
海洛因,0.0043,3 ,0.02,1 
二氧化碳,0.0201,14 ,0.02,1 
纳米,0.0129,9 ,0.02,1 
电池,0.033,23 ,0.02,1 
铀,0.0043,3 ,0.02,1 
风能,0.0043,3 ,0.02,1 
等离子体,0.0043,3 ,0.02,1 
石油,0.0057,4 ,0.02,1 
能源,0.0158,11 ,0.02,1 
碳,0.0144,10 ,0.02,1 
温室气体,0.0115,8 ,0.02,1 
生物燃料,0.0043,3 ,0.02,1 
燃料,0.0101,7 ,0.02,1 
铅,0.0043,3 ,0.02,1 
水,0.0172,12 ,0.02,1 
化学家,0.0057,4 ,0.02,1 
燃烧,0.0101,7 ,0.02,1 
普朗克,0.0072,5 ,0.02,1 
能量,0.0244,17 ,0.02,1 
PH,0.0316,22 ,0.02,1 
量子,0.0158,11 ,0.02,1 
暗物质,0.0057,4 ,0.02,1 
饱和度,0.0043,3 ,0.02,1 
过滤,0.0302,21 ,0.02,1 
化石燃料,0.0043,3 ,0.02,1 
气体,0.0115,8 ,0.02,1 
化学,0.0101,7 ,0.02,1 
蛋白质,0.0086,6 ,0.02,1 
液体,0.0086,6 ,0.02,1 
聚合,0.0115,8 ,0.02,1 
单色,0.0057,4 ,0.02,1 
光缆,0.0072,5 ,0.02,1 
放射性,0.0057,4 ,0.02,1 
动力学,0.0057,4 ,0.02,1 
乙醇,0.0072,5 ,0.02,1 
粒子,0.0216,15 ,0.02,1 
大气污染,0.0043,3 ,0.02,1 
Word,Percent,Count ,0.02,1 
核磁共振成像,0.0057,4 ,0.02,1 
金,0.0086,6 ,0.02,1 
原子,0.0072,5 ,0.02,1 
DNA,0.0517,36 ,0.02,1 
爱因斯坦,0.0115,8 ,0.02,1 
化学物质,0.0101,7 ,0.02,1 
