Id,Label,度
碳氟化合物,碳氟化合物,1
石油,石油,13
氧气,氧气,33
氦气,氦气,1
溶解度,溶解度,6
液体,液体,38
复合材料,复合材料,2
介质,介质,11
粘度,粘度,3
气体,气体,35
混合气体,混合气体,2
化学反应,化学反应,16
液态,液态,7
高分子,高分子,6
稀有气体,稀有气体,3
氮气,氮气,8
二氧化碳,二氧化碳,33
表面张力,表面张力,5
电子,电子,35
离心力,离心力,3
重水,重水,1
中子,中子,10
氘,氘,8
四极矩,四极矩,1
原子核,原子核,13
放射性,放射性,5
精度,精度,15
中微子,中微子,8
质子,质子,13
基本粒子,基本粒子,8
核反应堆,核反应堆,5
水,水,88
相互作用,相互作用,24
弱相互作用,弱相互作用,4
核聚变,核聚变,8
右旋,右旋,1
化学家,化学家,25
原子,原子,30
中性,中性,9
粒子,粒子,36
玻璃,玻璃,19
光谱,光谱,12
介子,介子,2
核反应,核反应,5
能量,能量,65
碱基,碱基,5
合成,合成,40
解旋酶,解旋酶,1
维生素B9,维生素B9,6
残基,残基,2
化学,化学,60
塑料,塑料,13
组蛋白,组蛋白,3
成分,成分,59
碳循环,碳循环,2
核苷酸,核苷酸,6
蛋白质,蛋白质,61
分子,分子,56
碱基对,碱基对,1
DNA,DNA,28
族,族,10
甲基化,甲基化,5
谷氨酸,谷氨酸,9
脱水,脱水,10
氨基酸残基,氨基酸残基,1
甲基,甲基,8
红血球,红血球,2
转录,转录,3
烧瓶,烧瓶,1
合胞体,合胞体,1
腐胺,腐胺,2
含量,含量,71
侵染,侵染,2
加热,加热,32
磷酸甘油,磷酸甘油,2
海水,海水,25
冷却水,冷却水,1
去分化,去分化,1
遮光板,遮光板,1
水冷却,水冷却,2
取样,取样,7
天冬氨酸,天冬氨酸,5
发酵,发酵,26
乙醇,乙醇,21
尸胺,尸胺,2
实验步骤,实验步骤,1
营养,营养,70
天然,天然,56
线粒体,线粒体,15
原基,原基,1
热学,热学,1
核配,核配,1
热容量,热容量,1
量子,量子,13
嵌合,嵌合,2
重金属,重金属,19
墨水,墨水,1
维里,维里,1
化学渗透理论,化学渗透理论,2
能量守恒定律,能量守恒定律,3
热力学,热力学,6
分解,分解,34
化学原理,化学原理,3
化学渗透,化学渗透,5
电位,电位,4
燃料,燃料,21
醋,醋,8
特异性,特异性,8
铁,铁,19
粘合剂,粘合剂,2
不锈钢,不锈钢,3
试管,试管,5
辉钼矿,辉钼矿,1
化学性质,化学性质,5
天然放射性,天然放射性,2
半衰期,半衰期,7
钢铁,钢铁,3
气化,气化,3
放射性同位素,放射性同位素,5
碳,碳,19
晶体,晶体,9
跃迁,跃迁,4
气态,气态,6
铀,铀,4
铅,铅,7
天平,天平,2
原子数,原子数,2
同位素,同位素,8
镥,镥,1
锆石,锆石,4
铱,铱,1
岩浆,岩浆,10
铼,铼,1
磷灰石,磷灰石,2
神经递质,神经递质,7
脂质,脂质,6
多巴胺,多巴胺,11
爱因斯坦,爱因斯坦,10
绝对温度,绝对温度,3
动力学,动力学,10
周期性,周期性,7
量纲,量纲,2
位移定律,位移定律,1
环境温度,环境温度,2
温室效应,温室效应,5
温度计,温度计,3
八面体,八面体,1
物质的量,物质的量,3
温标,温标,1
吸收的能量,吸收的能量,2
十二面体,十二面体,1
波长,波长,9
玻尔兹曼,玻尔兹曼,1
摄氏温标,摄氏温标,1
化学组成,化学组成,7
当量,当量,3
相对误差,相对误差,4
国际单位制,国际单位制,1
玻色,玻色,1
原子钟,原子钟,2
凝聚态,凝聚态,4
纳米,纳米,10
原子量,原子量,3
物理量,物理量,5
微米,微米,6
植物油,植物油,10
油酸,油酸,3
多酚,多酚,5
氧化,氧化,15
食用油,食用油,1
作用机理,作用机理,5
脂肪,脂肪,40
化学处理,化学处理,2
细胞膜,细胞膜,13
不饱和脂肪酸,不饱和脂肪酸,8
动物油,动物油,2
不饱和,不饱和,4
芥酸,芥酸,1
亚油酸,亚油酸,1
烟点,烟点,1
硫,硫,3
油脂,油脂,13
杂质,杂质,6
摩尔,摩尔,9
抗氧化,抗氧化,8
维生素E,维生素E,3
胆固醇,胆固醇,14
量子力学,量子力学,16
反射率,反射率,1
固态,固态,9
光电子,光电子,1
量子跃迁,量子跃迁,1
磺胺甲恶唑,磺胺甲恶唑,1
氧,氧,21
剂量,剂量,42
抗生素,抗生素,53
自由能,自由能,1
微克,微克,8
阻断剂,阻断剂,20
钙,钙,16
过敏反应,过敏反应,5
微量元素,微量元素,9
亚麻酸,亚麻酸,1
金箔,金箔,7
盐,盐,29
砷,砷,15
金,金,23
氢化,氢化,4
胡萝卜素,胡萝卜素,9
洗脱,洗脱,1
硼砂,硼砂,1
维生素A,维生素A,7
溶液,溶液,14
聚合,聚合,4
锗,锗,1
反粒子,反粒子,1
反应产物,反应产物,2
氦,氦,9
氩,氩,1
氯,氯,5
电荷守恒定律,电荷守恒定律,1
四氯乙烯,四氯乙烯,2
系统误差,系统误差,2
正电子,正电子,1
镓,镓,1
灵敏度,灵敏度,4
太阳能,太阳能,15
正电荷,正电荷,4
核子,核子,4
水华,水华,3
有机物,有机物,13
复合物,复合物,4
柠檬酸循环,柠檬酸循环,5
钴胺素,钴胺素,1
肌红蛋白,肌红蛋白,2
维生素B12,维生素B12,1
营养素,营养素,6
维生素,维生素,28
吸收率,吸收率,3
左旋,左旋,2
性激素,性激素,4
狄拉克,狄拉克,3
燃烧,燃烧,24
外层电子,外层电子,2
结构模型,结构模型,2
能级,能级,4
裂变,裂变,2
原子弹,原子弹,6
电子伏特,电子伏特,2
熔化,熔化,6
氮,氮,8
发射光谱,发射光谱,3
热量,热量,40
吸收光谱,吸收光谱,4
化学过程,化学过程,2
化学能,化学能,3
热功当量,热功当量,1
气体分子运动论,气体分子运动论,1
普通化学,普通化学,1
核裂变,核裂变,3
能量守恒,能量守恒,1
强相互作用,强相互作用,2
隧道效应,隧道效应,1
酸碱度,酸碱度,3
朱砂,朱砂,1
配子,配子,2
吸收热,吸收热,2
粘土,粘土,2
干酪,干酪,7
放电,放电,8
阴离子,阴离子,1
膜电位,膜电位,1
钾离子,钾离子,4
离子平衡,离子平衡,1
阳离子,阳离子,4
毒物学,毒物学,1
双硫,双硫,1
化学漂白,化学漂白,1
量子化,量子化,1
醛脱氢酶,醛脱氢酶,1
量子状态,量子状态,1
糖,糖,49
角质,角质,1
原子质量,原子质量,1
色素,色素,20
蜡烛,蜡烛,6
量筒,量筒,1
气流,气流,7
果糖,果糖,7
钠,钠,8
单糖,单糖,8
渗透压,渗透压,4
纯度,纯度,10
纤维素,纤维素,9
毫摩尔,毫摩尔,1
蔗糖,蔗糖,12
半乳糖,半乳糖,4
酶,酶,26
乳果糖,乳果糖,1
糖皮质激素,糖皮质激素,2
分解代谢,分解代谢,4
营养物质,营养物质,17
胶原纤维,胶原纤维,1
纤维蛋白,纤维蛋白,2
干燥,干燥,22
胰岛素,胰岛素,10
添加剂,添加剂,12
防腐剂,防腐剂,8
糖精,糖精,2
脂蛋白,脂蛋白,2
硝基酚,硝基酚,1
脂肪酸,脂肪酸,5
氢,氢,14
熔岩,熔岩,5
火山灰,火山灰,5
丰度,丰度,5
矿物,矿物,14
矿物学,矿物学,4
导管,导管,11
熔炉,熔炉,2
活化,活化,2
岩石地球化学,岩石地球化学,1
克劳修斯,克劳修斯,1
太阳辐射,太阳辐射,4
温室气体,温室气体,7
气溶胶,气溶胶,3
化石燃料,化石燃料,5
大气污染,大气污染,8
炼金术,炼金术,11
海盐,海盐,1
多态现象,多态现象,1
激素,激素,32
矿石,矿石,5
哌啶,哌啶,3
不溶性,不溶性,6
水分,水分,31
分馏,分馏,2
化学分析,化学分析,1
乙酸,乙酸,6
谷氨酰胺,谷氨酰胺,2
双螺旋,双螺旋,4
可溶性,可溶性,5
苯丙酮尿症,苯丙酮尿症,2
苯醋酸,苯醋酸,1
夸克,夸克,5
化学元素,化学元素,9
基本单位,基本单位,2
普朗克,普朗克,4
环磷酰胺,环磷酰胺,1
铂,铂,1
汽化,汽化,1
二氧化硫,二氧化硫,5
硅酸盐,硅酸盐,4
负电荷,负电荷,2
火山岩,火山岩,6
挥发性,挥发性,5
坩埚,坩埚,1
精炼,精炼,3
标准差,标准差,2
橡胶,橡胶,10
冶炼,冶炼,4
提纯,提纯,5
胆汁酸,胆汁酸,1
脂溶性,脂溶性,8
胆红素,胆红素,1
鹅去氧胆酸,鹅去氧胆酸,1
沉淀,沉淀,9
微粒,微粒,1
绝对偏差,绝对偏差,1
等价,等价,14
收敛性,收敛性,1
锰,锰,3
血糖,血糖,11
矿物质,矿物质,24
凝血因子,凝血因子,1
环丙烯,环丙烯,1
游离,游离,7
藻酸钠,藻酸钠,1
化学合成,化学合成,4
水溶液,水溶液,5
还原酶,还原酶,1
雄激素,雄激素,6
双氢睾酮,双氢睾酮,2
催化,催化,6
雄胺,雄胺,1
PH,PH,6
米诺地尔,米诺地尔,1
粉尘,粉尘,5
废气,废气,4
煤气,煤气,1
真菌毒素,真菌毒素,1
曲霉毒素,曲霉毒素,4
有机溶剂,有机溶剂,2
荧光,荧光,7
带电粒子,带电粒子,1
化学式,化学式,2
副产物,副产物,16
羟色胺,羟色胺,6
转运蛋白,转运蛋白,1
化学工业,化学工业,7
煤,煤,5
富集,富集,7
化学键,化学键,7
甲状腺素,甲状腺素,3
碘,碘,5
钚,钚,1
固体,固体,11
赤霉素,赤霉素,1
生长激素,生长激素,3
亚硝酸盐,亚硝酸盐,4
植物激素,植物激素,3
砒霜,砒霜,3
叶绿素,叶绿素,4
降解,降解,14
秋水仙碱,秋水仙碱,1
叶黄素,叶黄素,2
调节剂,调节剂,2
化肥,化肥,8
苄基腺嘌呤,苄基腺嘌呤,1
泡沫箱,泡沫箱,1
分子化合物,分子化合物,1
氨基酸,氨基酸,17
茶多酚,茶多酚,1
水蒸汽,水蒸汽,6
一价,一价,1
RNA,RNA,9
青霉素,青霉素,7
标定,标定,2
着床,着床,2
米非司酮,米非司酮,2
粘液,粘液,3
前列腺素,前列腺素,4
孕激素,孕激素,3
亚硝胺,亚硝胺,1
高铁血红蛋白,高铁血红蛋白,1
醋酸菌,醋酸菌,1
硝酸盐,硝酸盐,3
葡萄糖,葡萄糖,17
茄碱,茄碱,1
嘧啶,嘧啶,1
植物凝集素,植物凝集素,1
氧化降解,氧化降解,1
植物毒素,植物毒素,1
凝集素,凝集素,1
乳酸,乳酸,8
脱氢酶,脱氢酶,1
矿泉水,矿泉水,1
生物碱,生物碱,4
糖苷,糖苷,1
酸,酸,26
维生素C,维生素C,10
蛋白酶抑制剂,蛋白酶抑制剂,2
陶瓷,陶瓷,2
负极,负极,2
极性分子,极性分子,1
暴沸,暴沸,1
电场,电场,2
正极,正极,2
爆炸物,爆炸物,3
硫化,硫化,1
箭毒,箭毒,3
脑脊液,脑脊液,2
