Total Word is 1627 
Word,Percent,Count 
电池,0.2354,383 
玻璃,0.0731,119 
塑料,0.0621,101 
电子,0.0443,72 
金,0.0381,62 
银,0.0252,41 
不锈钢,0.0221,36 
太阳能,0.0209,34 
能源,0.0135,22 
水,0.0117,19 
合成,0.0111,18 
橡胶,0.0104,17 
蓝宝石,0.0098,16 
锂电池,0.0092,15 
PH,0.0086,14 
铝,0.008,13 
磁铁,0.008,13 
硅胶,0.0074,12 
单色,0.0074,12 
燃烧,0.0074,12 
氢,0.0074,12 
过滤,0.0068,11 
燃料,0.0068,11 
陶瓷,0.0061,10 
灵敏度,0.0061,10 
钻石,0.0061,10 
半导体,0.0061,10 
气压计,0.0061,10 
钢铁,0.0061,10 
耐用性,0.0055,9 
滤网,0.0055,9 
碳,0.0055,9 
单体,0.0055,9 
玻璃纤维,0.0055,9 
液态,0.0055,9 
二氧化碳,0.0049,8 
量子,0.0043,7 
温度计,0.0043,7 
粒子,0.0043,7 
化学,0.0043,7 
糖,0.0043,7 
红外,0.0043,7 
固态,0.0043,7 
聚碳酸酯,0.0037,6 
水晶,0.0037,6 
气流,0.0037,6 
DNA,0.0037,6 
聚合,0.0037,6 
加热,0.0037,6 
硬度,0.0037,6 
