Total Word is 50 
Word,Percent,Count 
抗生素,0.0052,16 ,0.02,1 
合成,0.0092,28 ,0.02,1 
剂量,0.0049,15 ,0.02,1 
石油,0.0052,16 ,0.02,1 
粒子,0.0069,21 ,0.02,1 
咖啡因,0.0049,15 ,0.02,1 
热量,0.0078,24 ,0.02,1 
溶液,0.0042,13 ,0.02,1 
碳,0.0085,26 ,0.02,1 
荷尔蒙,0.0042,13 ,0.02,1 
荧光,0.0052,16 ,0.02,1 
燃料,0.0042,13 ,0.02,1 
色素,0.0046,14 ,0.02,1 
中性,0.0039,12 ,0.02,1 
乙醇,0.0072,22 ,0.02,1 
干燥,0.0059,18 ,0.02,1 
分子,0.0121,37 ,0.02,1 
氧气,0.0049,15 ,0.02,1 
金,0.0059,18 ,0.02,1 
糖,0.0082,25 ,0.02,1 
能源,0.0069,21 ,0.02,1 
能量,0.0265,81 ,0.02,1 
营养,0.0124,38 ,0.02,1 
加热,0.0052,16 ,0.02,1 
化学,0.0101,31 ,0.02,1 
液体,0.0118,36 ,0.02,1 
酸性,0.0052,16 ,0.02,1 
雌激素,0.0046,14 ,0.02,1 
电池,0.0157,48 ,0.02,1 
气体,0.0056,17 ,0.02,1 
分解,0.0092,28 ,0.02,1 
燃烧,0.0075,23 ,0.02,1 
激素,0.0088,27 ,0.02,1 
脂肪,0.0095,29 ,0.02,1 
DNA,0.0147,45 ,0.02,1 
太阳能,0.0098,30 ,0.02,1 
纳米,0.0039,12 ,0.02,1 
天然,0.0062,19 ,0.02,1 
水分,0.0072,22 ,0.02,1 
化学物质,0.0072,22 ,0.02,1 
塑料,0.0088,27 ,0.02,1 
成分,0.015,46 ,0.02,1 
含量,0.0167,51 ,0.02,1 
Word,Percent,Count ,0.02,1 
二氧化碳,0.0075,23 ,0.02,1 
氧化,0.0039,12 ,0.02,1 
蛋白质,0.015,46 ,0.02,1 
水,0.0245,75 ,0.02,1 
酶,0.0069,21 ,0.02,1 
电子,0.0121,37 ,0.02,1 
