Total Word is 8554 
Word,Percent,Count 
含量,0.0194,166 
蛋白质,0.0187,160 
能量,0.0179,153 
水,0.0178,152 
分子,0.0161,138 
营养,0.0139,119 
成分,0.0138,118 
DNA,0.0131,112 
脂肪,0.0127,109 
化学,0.0119,102 
合成,0.0106,91 
天然,0.0102,87 
糖,0.0096,82 
电子,0.0083,71 
分解,0.0078,67 
热量,0.0076,65 
剂量,0.0072,62 
激素,0.0072,62 
电池,0.0071,61 
液体,0.0069,59 
水分,0.0069,59 
加热,0.0068,58 
金,0.0064,55 
乙醇,0.0061,52 
能源,0.0061,52 
塑料,0.0056,48 
燃烧,0.0053,45 
玻璃,0.0053,45 
气体,0.0051,44 
化学物质,0.0051,44 
铁,0.005,43 
干燥,0.0049,42 
二氧化碳,0.0048,41 
氧气,0.0047,40 
色素,0.0046,39 
酶,0.0044,38 
油脂,0.0044,38 
原子,0.0042,36 
维生素,0.0042,36 
葡萄糖,0.004,34 
固体,0.0039,33 
氧化,0.0039,33 
胆固醇,0.0039,33 
血糖,0.0039,33 
粒子,0.0037,32 
盐,0.0037,32 
相互作用,0.0037,32 
碳,0.0036,31 
酸,0.0036,31 
纳米,0.0036,31 
